filename,publisher,url,document_date,retrieved,sha256,bytes
flatbush_deis_part2_2018.pdf,NYC Educational Construction Fund,https://infohub.nyced.org/docs/default-source/default-document-library/deis__ecf_80_flatbush_avenue_part2.pdf,2018-02,2026-09-21,bfe6f70ffaaa02d5f7e1a0e007b32c99f37052a612b414b07b9e6c9402b05cc0,9091755
flatbush_deis_part3_2018.pdf,NYC Educational Construction Fund,https://infohub.nyced.org/docs/default-source/default-document-library/deis__ecf_80_flatbush_avenue_part3.pdf,2018-02,2026-09-21,265fd2c4b3c9901ec671dbcdfcd1b5d9a50b5611fe3628213318c9d527b86c48,8657709
