saved_path,publisher,source_date,acquired_date,url,sha256,bytes,pdf_pages
acris_legals_5133_14_2026-09-20.json,NYC Department of Finance ACRIS,mutable index,2026-09-20,https://data.cityofnewyork.us/resource/8h5j-fqxa.json?borough=3&block=5133&lot=14&%24limit=5000,6b9fd302dd07a39f56f035a25da8c01bd1fea7387a2135747389e7908a515fb8,17375,
acris_legals_5133_44_2026-09-20.json,NYC Department of Finance ACRIS,mutable index,2026-09-20,https://data.cityofnewyork.us/resource/8h5j-fqxa.json?borough=3&block=5133&lot=44&%24limit=5000,fc96d7307daab27b864b410a1a1c34115515954a9128bd0ac393dedfe4784986,9804,
acris_legals_5133_46_2026-09-20.json,NYC Department of Finance ACRIS,mutable index,2026-09-20,https://data.cityofnewyork.us/resource/8h5j-fqxa.json?borough=3&block=5133&lot=46&%24limit=5000,6b5c055380368c999110fbdba6fc4758be54d5f3b2395233703071336839d438,9000,
acris_legals_5135_29_2026-09-20.json,NYC Department of Finance ACRIS,mutable index,2026-09-20,https://data.cityofnewyork.us/resource/8h5j-fqxa.json?borough=3&block=5135&lot=29&%24limit=5000,121b1d0dafb11ee2bf72bc717cf8becbdd243b1e7b32c9021154c160f3e77dfa,2297,
acris_legals_5135_53_2026-09-20.json,NYC Department of Finance ACRIS,mutable index,2026-09-20,https://data.cityofnewyork.us/resource/8h5j-fqxa.json?borough=3&block=5135&lot=53&%24limit=5000,2d28351c48bd4a89dd5cf09361c9488afb592513cf8b80feed7dd357f76721c6,15025,
acris_master_crfn_2023000289030.json,NYC Department of Finance ACRIS,mutable index,2026-09-20,https://data.cityofnewyork.us/resource/bnx9-e6tj.json?crfn=2023000289030,18ec31a32bf30f131de8c407f2526dc327791f89112402bf2f0c822187da0cc4,389,
acris_master_crfn_2024000098255.json,NYC Department of Finance ACRIS,mutable index,2026-09-20,https://data.cityofnewyork.us/resource/bnx9-e6tj.json?crfn=2024000098255,93d1610f44f8e459ea01b0bfb381e953a4bfddd1dd6677a7839ca4512e8f8197,379,
bedford_beverly_bca_2023-12-21.Amendment_No1_Add_Applicant_Bedford_Beverly_Redevelopment_Site.pdf,NYSDEC,2023-12-21,2026-09-20,https://extapps.dec.ny.gov/data/DecDocs/C224384/Agreement.BCP.C224384.2023-12-21.Amendment_No1_Add_Applicant_Bedford_Beverly_Redevelopment_Site.pdf,230fdaacf481355c56894b393bc39c1487ae28dbde66690679da17c7b43ebfbb,1007682,9
bedford_beverly_bca_2024-02-29.Amendment_No2_Add_Applicant.pdf,NYSDEC,2024-02-29,2026-09-20,https://extapps.dec.ny.gov/data/DecDocs/C224384/Agreement.BCP.C224384.2024-02-29.Amendment_No2_Add_Applicant.pdf,0fc3533be3acf3575344012acb37a228fbcbcdcfbdb405477e3aa73b53c80476,3733689,39
bedford_beverly_bca_2024-05-10.Amendment_No_3_Ownership_Change.pdf,NYSDEC,2024-05-10,2026-09-20,https://extapps.dec.ny.gov/data/DecDocs/C224384/Agreement.BCP.C224384.2024-05-10.Amendment_No_3_Ownership_Change.pdf,c195bb40fb60825a9ea90b978d59c2a8916290b586d1eb90f151b32b6038e89f,2730577,13
bedford_beverly_bcp_application_2023-01-19.pdf,NYSDEC,2023-01-19,2026-09-20,https://extapps.dec.ny.gov/data/DecDocs/C224384/Application.BCP.C224384.2023-01-19.Complete_BCP_Application.pdf,ca5903f84bf74c3f963c405d19195b899c8ba037fe645d9ba54ea739e45613c0,18055251,115
bedford_beverly_decision_2024-01-23.pdf,NYSDEC,2024-01-23,2026-09-20,https://extapps.dec.ny.gov/data/DecDocs/C224384/Decision%20Document.BCP.C224384.2024-01-23.Decision%20Document.pdf,587c6af0fb2a8a08e8bfa8d49ad25f8fad4333f2f95a7cbccd7bf943132efece,2946730,22
bedford_beverly_recorded_ee_2024-12-20.pdf,NYSDEC,2024-12,2026-09-20,https://extapps.dec.ny.gov/data/DecDocs/C224384/Easement.BCP.C224384.2024-12-20.Recorded%20EE.pdf,a5e50b8678092d70f8209f2a9863d2e3ced6aff8fd4b70900edba41f113d6b8f,760893,14
bedford_beverly_rir_2023-10-26.pdf,NYSDEC,2023-10,2026-09-20,https://extapps.dec.ny.gov/data/DecDocs/C224384/Report.BCP.C224384.2023-10-26.Remedial%20Investigation%20Report.pdf,d109faafca2d33be24b547777545ba30deccaaa3c46dfeeea1acea8c446df208,18821776,604
bedford_square_the_district_2026-09-20.html,Bedford Square developer/manager,mutable website,2026-09-20,https://bedfordsquarebk.com/the-district/,ce7ff0f87c417742f02a835236193fa9d4334a05190809f8459901fa7395299e,51548,
dec_directory_2026-09-20.html,NYSDEC,mutable directory index,2026-09-20,https://extapps.dec.ny.gov/data/DecDocs/C224384/,9b29a211ded2f9722b4fe4a7fa9361a95cc959d9c2609bfa1ef34cb5fd4999a8,38916,
dof_actions_99953_147303_2026-09-20.json,NYC Department of Finance,mutable daily service,2026-09-20,https://services6.arcgis.com/yG5s3afENB5iO9fj/ArcGIS/rest/services/DTM_ETL_DAILY_view/FeatureServer/9/query?where=TRANS_NUM%20IN%20(99953%2C147303)&outFields=*&returnGeometry=false&f=json,e8495300afa1a705aeff2975812d293fd50b360511588c263f463d258cf2c35e,5459,
dof_assessments_five_lots_2026-09-20.json,NYC Department of Finance,FY2025–FY2027,2026-09-20,"https://data.cityofnewyork.us/resource/8y4t-faws.json?%24where=parid%20in(%273051350053%27,%273051350029%27,%273051330014%27,%273051330044%27,%273051330046%27)%20and%20year%20in(%272025%27,%272026%27,%272027%27)&%24limit=500",f25b989f581787a1915c01e2e9d93147da927d0333fd759d17a11f688db99d63,63792,
dof_lot_actions_99953_147303_2026-09-20.json,NYC Department of Finance,mutable daily service,2026-09-20,https://services6.arcgis.com/yG5s3afENB5iO9fj/ArcGIS/rest/services/DTM_ETL_DAILY_view/FeatureServer/15/query?where=TRANS_NUM%20IN%20(99953%2C147303)&outFields=*&returnGeometry=false&f=json,b30cc8370068f02f324f609edacf105b6629aa78c9be60e6f4ba2afd02cd4a89,1998,
dof_map_30513320130301164034.pdf,NYC Department of Finance,2013-03-01,2026-09-20,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/30513320130301164034,2c329d696242ec1cbfb5fd892f191b292000a2986c5dc02976fca2d3a03e9952,130672,1
dof_map_30513320231114144956.pdf,NYC Department of Finance,2023-11-14,2026-09-20,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/30513320231114144956,7b69cca55efbf1073d9455e1cccc566d22ddd99163bb7383da7e5e80acbaf533,144824,1
dof_map_30513520081206135345.pdf,NYC Department of Finance,2008-12-06,2026-09-20,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/30513520081206135345,1fccde8adeff81704c76f7407ce0ee714bd437aa78b2bdef363cd0c73bbace25,151927,1
dof_map_30513520240607105717.pdf,NYC Department of Finance,2024-06-07,2026-09-20,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/30513520240607105717,d098fb5dd5421a4aaed2a07585941bd505e4193a22945cde612cebde5dcb5258,1868423,1
pluto_current_five_lots_2026-09-20.json,NYC Department of City Planning,26v2,2026-09-20,"https://data.cityofnewyork.us/resource/64uk-42ks.json?%24where=bbl%20in(%273051330014%27,%273051330044%27,%273051330046%27,%273051350053%27,%273051350029%27)",fa6f243803a4d9b8c383789a5d759536f60e8970ecdb89161118cbd593568dbf,7704,
