sample,parent_id,unresolved,status
historical,historical__121204801,FALSE,Supported by available parcel and filing checks
historical,historical__121204874,FALSE,Supported by available parcel and filing checks
historical,historical__121204892,FALSE,Supported by available parcel and filing checks
historical,historical__121205203,FALSE,Supported by available parcel and filing checks
historical,historical__121205221,FALSE,Supported by available parcel and filing checks
historical,historical__121205356,FALSE,Supported by available parcel and filing checks
historical,historical__121205445,FALSE,Supported by available parcel and filing checks
historical,historical__121205454,FALSE,Supported by available parcel and filing checks
historical,historical__121205524,FALSE,Supported by available parcel and filing checks
historical,historical__121205597,FALSE,Supported by available parcel and filing checks
historical,historical__121205640,FALSE,Supported by available parcel and filing checks
historical,historical__121205686,FALSE,Supported by available parcel and filing checks
historical,historical__121206140,FALSE,Supported by available parcel and filing checks
historical,historical__121206337,FALSE,Supported by available parcel and filing checks
historical,historical__121206417,FALSE,Supported by available parcel and filing checks
historical,historical__121206499,FALSE,Supported by available parcel and filing checks
historical,historical__121206685,FALSE,Supported by available parcel and filing checks
historical,historical__121206818,FALSE,Supported by available parcel and filing checks
historical,historical__121207014,FALSE,Supported by available parcel and filing checks
historical,historical__121207292,FALSE,Supported by available parcel and filing checks
historical,historical__121207309,FALSE,Supported by available parcel and filing checks
historical,historical__121207354,TRUE,Source or reference-date disagreement
historical,historical__121207504,FALSE,Supported by available parcel and filing checks
historical,historical__121207764,FALSE,Supported by available parcel and filing checks
historical,historical__121207942,TRUE,Partial earlier parcels require allocation
historical,historical__121208077,FALSE,Supported by available parcel and filing checks
historical,historical__121208095,FALSE,Supported by available parcel and filing checks
historical,historical__121208905,FALSE,Supported by available parcel and filing checks
historical,historical__121209138,FALSE,Supported by available parcel and filing checks
historical,historical__121209174,FALSE,Supported by available parcel and filing checks
historical,historical__121209281,FALSE,Supported by available parcel and filing checks
historical,historical__121209361,FALSE,Supported by available parcel and filing checks
historical,historical__121209502,FALSE,Supported by available parcel and filing checks
historical,historical__121209575,FALSE,Supported by available parcel and filing checks
historical,historical__123692334,FALSE,Supported by available parcel and filing checks
historical,historical__123740336,FALSE,Supported by available parcel and filing checks
historical,historical__123756015,FALSE,Supported by available parcel and filing checks
historical,historical__123777305,FALSE,Supported by available parcel and filing checks
