sample,parent_id,parent_total_units,n_components,included_ab,composition_eligible,lot_area_sqft,residential_far,built_far
historical,historical__121189579,37,1,FALSE,TRUE,4496,3.44,0
historical,historical__121204641,45,1,FALSE,TRUE,5298,6,0
historical,historical__121204721,361,1,FALSE,TRUE,76578,7.52,0
historical,historical__121204776,10,1,FALSE,TRUE,4217,10,3.91
historical,historical__121204801,50,1,TRUE,TRUE,4275,7.52,3.95
historical,historical__121204829,29,1,TRUE,TRUE,5473,3.44,1.5
historical,historical__121204874,277,1,TRUE,TRUE,14812,10,1.08
historical,historical__121204892,63,1,TRUE,TRUE,1788,10,2.63
historical,historical__121204945,10,1,FALSE,TRUE,2472,4,2.04
historical,historical__121204963,11,1,FALSE,TRUE,2581,4,2.2
historical,historical__121205025,174,1,FALSE,TRUE,11825,6.02,2.37
historical,historical__121205089,10,1,FALSE,TRUE,2681,6.02,0
historical,historical__121205187,32,1,TRUE,TRUE,2043,10,4.93
historical,historical__121205203,71,1,TRUE,TRUE,8092,6,2.99
historical,historical__121205221,144,1,TRUE,TRUE,5604,10,3.4399999999999995
historical,historical__121205301,26,1,TRUE,TRUE,2650,4,0
historical,historical__121205356,86,1,TRUE,TRUE,1773,10,3.28
historical,historical__121205445,164,1,TRUE,TRUE,20375,3.44,0.26
historical,historical__121205454,496,1,TRUE,TRUE,17275,10,0
historical,historical__121205481,12,1,TRUE,TRUE,2523,4,0
historical,historical__121205506,12,1,TRUE,TRUE,7283,7.52,0
historical,historical__121205524,160,1,TRUE,TRUE,1415,0,0
historical,historical__121205597,164,1,TRUE,TRUE,2592,6,4.52
historical,historical__121205640,229,1,TRUE,TRUE,4933,10,2.96
historical,historical__121205686,133,1,TRUE,TRUE,1975,10,2.02
historical,historical__121205711,12,1,FALSE,TRUE,4087,4,1.06
historical,historical__121205935,31,1,TRUE,TRUE,4996,6.02,0
historical,historical__121206015,42,1,TRUE,TRUE,1817,4,1.82
historical,historical__121206042,21,1,TRUE,TRUE,2798,3.4399999999999995,0
historical,historical__121206097,357,1,FALSE,TRUE,20199,3.44,0
historical,historical__121206140,480,1,TRUE,TRUE,9885,10,0
historical,historical__121206186,37,1,TRUE,TRUE,9666,6.02,2.99
historical,historical__121206337,52,1,TRUE,TRUE,5225,6.02,8.44
historical,historical__121206364,8,1,TRUE,TRUE,1500,3.44,0
historical,historical__121206417,51,1,TRUE,TRUE,5164,3.44,0
historical,historical__121206499,108,1,TRUE,TRUE,2500,10,2.8
historical,historical__121206569,29,1,TRUE,TRUE,3508,10,1.77
historical,historical__121206676,15,1,TRUE,TRUE,2200,6.02,2
historical,historical__121206685,142,1,TRUE,TRUE,18100,6.02,0.19
historical,historical__121206756,14,1,FALSE,TRUE,5255,10,3.21
historical,historical__121206818,97,1,TRUE,TRUE,13168,3.44,0.96
historical,historical__121207014,131,1,TRUE,TRUE,12588,10,2.25
historical,historical__121207185,14,1,TRUE,TRUE,2375,6.02,0.8
historical,historical__121207292,495,2,TRUE,TRUE,32395,6.02,0
historical,historical__121207309,330,1,TRUE,TRUE,15975,10,3.91
historical,historical__121207354,81,1,TRUE,TRUE,3531,7.52,4.33
historical,historical__121207504,614,1,TRUE,TRUE,42540,6.02,1.1950230228974719
historical,historical__121207728,22,1,TRUE,TRUE,6485,4,0
historical,historical__121207764,232,1,TRUE,TRUE,17642,10,0
historical,historical__121207826,10,1,TRUE,TRUE,2467,6.02,1.11
historical,historical__121207933,7,1,FALSE,TRUE,1665,3,0
historical,historical__121207942,160,1,TRUE,TRUE,2469,10,2.4
historical,historical__121207988,10,1,FALSE,TRUE,2498,3.4399999999999995,0
historical,historical__121208040,11,1,FALSE,TRUE,2000,3.44,0
historical,historical__121208077,75,1,TRUE,TRUE,8162,6.02,2.13
historical,historical__121208095,97,1,TRUE,TRUE,2312,8,3.98
historical,historical__121208102,7,1,FALSE,TRUE,3746,10,2.7
historical,historical__121208709,21,1,FALSE,TRUE,1775,3.44,0
historical,historical__121208861,28,1,TRUE,TRUE,5221,10,2.6
historical,historical__121208905,59,1,TRUE,TRUE,10000,3.44,0.93
historical,historical__121209138,88,1,TRUE,TRUE,11800,6.02,0.37
historical,historical__121209165,23,1,FALSE,TRUE,2475,3.44,1.92
historical,historical__121209174,92,1,TRUE,TRUE,15450,3.44,0
historical,historical__121209192,100,1,FALSE,TRUE,10625,10,0
historical,historical__121209281,453,1,TRUE,TRUE,15939,10,6.2
historical,historical__121209361,54,1,TRUE,TRUE,1840,7.52,0
historical,historical__121209469,23,1,TRUE,TRUE,4392,3.44,0
historical,historical__121209502,171,1,TRUE,TRUE,5034,10,0
historical,historical__121209575,92,1,TRUE,TRUE,12490,3.44,1.45
historical,historical__121209600,26,1,FALSE,TRUE,937,6.02,3.95
historical,historical__123253273,14,1,TRUE,TRUE,2767,10,2.92
historical,historical__123692334,58,1,TRUE,TRUE,1883,10,2.35
historical,historical__123740336,113,1,TRUE,TRUE,2523,6.02,2.56
historical,historical__123752153,22,2,FALSE,TRUE,4968,10,2.33
historical,historical__123756015,65,1,TRUE,TRUE,1469,7.52,0
historical,historical__123765817,12,1,FALSE,TRUE,1779,4,2.09
historical,historical__123777305,59,1,TRUE,TRUE,2517,6,4
historical,historical__123800093,54,1,FALSE,TRUE,1932,7.52,3
historical,historical__123854944,14,1,TRUE,TRUE,2500,4,0
historical,historical__123872363,14,1,TRUE,TRUE,2500,3.44,0
historical,historical__123872416,13,1,TRUE,TRUE,2492,3.44,0
historical,historical__123910517,28,1,TRUE,TRUE,4738,4,0
historical,historical__123910526,10,1,TRUE,TRUE,2300,4,0
historical,historical__140913064,23,1,TRUE,TRUE,2057,0,2.11
historical,historical__140968031,11,1,TRUE,TRUE,1993,3.44,0
historical,historical__210178966,107,1,TRUE,TRUE,10790,3.44,0.8299999999999998
historical,historical__210178993,37,1,TRUE,TRUE,3616,3.44,0
historical,historical__210179082,25,1,TRUE,TRUE,5000,3.44,1.02
historical,historical__210179144,9,1,TRUE,TRUE,5000,2.43,0.56
historical,historical__210179171,17,1,TRUE,TRUE,2500,6.02,0.86
historical,historical__210179199,8,1,TRUE,TRUE,2500,3.44,1.24
historical,historical__210179215,80,1,TRUE,TRUE,5300,5,0.29
historical,historical__210179224,43,1,TRUE,TRUE,7303,3.44,1.92
historical,historical__210179242,153,1,TRUE,TRUE,13337,0,0
historical,historical__210179279,82,1,TRUE,TRUE,3189,3.44,0
historical,historical__210179457,171,1,FALSE,TRUE,21218,6.02,0.12
historical,historical__210179475,9,1,TRUE,TRUE,5000,2.43,0.56
historical,historical__210179493,55,1,TRUE,TRUE,6500,3,1.52
historical,historical__210179518,148,1,TRUE,TRUE,4855,3.44,0.43
historical,historical__210179545,36,1,TRUE,TRUE,6029,6.019999999999999,0
historical,historical__210179581,36,1,TRUE,TRUE,2500,3.44,0.77
historical,historical__210179616,119,1,TRUE,TRUE,1110,5,0
historical,historical__210179625,36,1,TRUE,TRUE,4219,2.43,0.71
historical,historical__210179634,116,1,TRUE,TRUE,2500,3.44,0
historical,historical__210179670,18,1,TRUE,TRUE,3632,3.44,0
historical,historical__210179705,245,1,TRUE,TRUE,24165,7.52,0.67
historical,historical__210179732,188,1,TRUE,TRUE,15635,4.2,1
historical,historical__210179750,29,1,TRUE,TRUE,8700,2.43,0.5
historical,historical__210179778,8,1,TRUE,TRUE,2336,3,0
historical,historical__210179803,221,1,TRUE,TRUE,32350,2.43,0
historical,historical__210179821,116,1,TRUE,TRUE,10962,6.02,0
historical,historical__210179830,133,1,TRUE,TRUE,11081,0,0.08
historical,historical__210179876,12,1,TRUE,TRUE,2500,3.44,0
historical,historical__210179910,35,1,TRUE,TRUE,6520,3.44,0
historical,historical__210179929,542,1,FALSE,TRUE,191500,3.44,0.17
historical,historical__210179965,163,1,TRUE,TRUE,2242,6.02,0
historical,historical__210179974,160,1,TRUE,TRUE,2250,6.02,1.56
historical,historical__210179983,85,1,TRUE,TRUE,6854,6.02,1.5
historical,historical__210179992,182,1,FALSE,TRUE,4900,3.44,0
historical,historical__210180016,25,1,TRUE,TRUE,2700,3.44,0.87
historical,historical__210180070,95,1,FALSE,TRUE,1149,3.44,0
historical,historical__210180105,265,1,TRUE,TRUE,60979,1.25,0.17
historical,historical__210180123,23,1,FALSE,TRUE,2440,3.44,0
historical,historical__210180178,134,1,TRUE,TRUE,2740,3.44,0.5
historical,historical__210180221,218,1,TRUE,TRUE,29530,6.02,0
historical,historical__210180258,93,1,TRUE,TRUE,15800,2.43,0.49
historical,historical__210180294,251,1,TRUE,TRUE,24123,0,0.25
historical,historical__210180310,10,1,TRUE,TRUE,2475,3.44,0.75
historical,historical__210180356,85,1,TRUE,TRUE,12500,6.02,0
historical,historical__210180365,72,1,TRUE,TRUE,2500,3.44,0
historical,historical__210180445,20,2,TRUE,TRUE,5500,3,0.935
historical,historical__210180490,13,1,TRUE,TRUE,7250,6.02,1
historical,historical__210180533,264,2,TRUE,TRUE,24880,6.019999999999999,0.5859726688102894
historical,historical__210180604,101,1,TRUE,TRUE,44717,6.02,0.19999999999999998
historical,historical__210180720,420,2,FALSE,TRUE,53532,6.02,0
historical,historical__210180800,44,1,TRUE,TRUE,2500,6.02,0
historical,historical__210180819,570,2,TRUE,TRUE,70063,5.856133194410744,1.1471104577308993
historical,historical__210180855,40,1,TRUE,TRUE,500,2.43,0
historical,historical__210180864,279,1,TRUE,TRUE,76664,6.02,2.62
historical,historical__210180891,118,1,TRUE,TRUE,15280,3.44,0
historical,historical__210180908,42,1,FALSE,TRUE,679000,2.43,1.5
historical,historical__210180953,16,1,TRUE,TRUE,679000,2.43,1.5
