sample,parent_id,component_addresses,parent_total_units,n_components,vintages,filing_bbls,lot_area_sqft
historical,historical__210179803,1701 PURDY STREET,221,1,18v2beta,2039430199,32350
historical,historical__321598883,393 WEIRFIELD STREET,66,1,20v5,3034000068,3050
historical,historical__B00509455,11 GERRY STREET,120,1,20v8,3022650022,111040
historical,historical__B00665500,265 LORIMER STREET,270,1,21v1,3030760018,45129
historical,historical__B00665570,565 SACKETT STREET,300,1,21v1,3004260047,38500
historical,historical__Q00657653,94-15 SUTPHIN BOULEVARD,524,1,21v1,4099990001,60138
historical,historical__X00687757,1166 FOX STREET,59,1,21v1,2029740030,2500
historical,historical__X00702588,2070 CHATTERTON AVENUE,79,1,21v1,2037970033,60979
historical,historical__X00705496,2123 GLEBE AVENUE,111,1,21v1,2039630057,22790
post_policy,post_policy__B01312761-I1,10 NOBLE STREET;41 OAK STREET,1060,2,23v3_1,3025670001;3025670010,173834
post_policy,post_policy__X01201390-I1,220 KIMBERLY PLACE;3008 GODWIN TERRACE,164,2,23v3_1,2057000079;2057000088,18441
post_policy,post_policy__X01265022-I1,1920 TURNBULL AVENUE;1933 LAFAYETTE AVENUE,298,2,23v3_1,2036720001;2036720020,145120
