Rows: 3349
Columns: 26
Key fields: sample, root_job_id
Saved-file MD5: 63d314cc2fefa7bacd7830af362719f6
Rows missing a key field: 0
Repeated keys beyond the first row: 0
sample | character | nonmissing | 3349 | distinct | 2
parent_id | character | nonmissing | 3349 | distinct | 2928
root_job_id | character | nonmissing | 3349 | distinct | 3349
date_filed | Date | nonmissing | 3349 | distinct | 1219
original_filing_date | Date | nonmissing | 3349 | distinct | 1221
refiled | logical | nonmissing | 3349 | distinct | 2
refiling_date | Date | nonmissing | 41 | distinct | 38
current_units | numeric | nonmissing | 3349 | distinct | 343 min/median/mean/max 6/25/60.48164/1313
hdb_priority_units | numeric | nonmissing | 3349 | distinct | 343 min/median/mean/max 6/25/60.48164/1313
unit_source | character | nonmissing | 3349 | distinct | 2
included_ab | logical | nonmissing | 3349 | distinct | 2
composition_eligible | logical | nonmissing | 3349 | distinct | 2
dob_address | character | nonmissing | 1993 | distinct | 1974
dob_i1_units | numeric | nonmissing | 1993 | distinct | 293 min/median/mean/max 2/33/71.858/1803
dob_status_date | Date | nonmissing | 1993 | distinct | 625
dob_stories | numeric | nonmissing | 1993 | distinct | 52 min/median/mean/max 2/7/9.103864/86
dob_floor_area | numeric | nonmissing | 1993 | distinct | 1947 min/median/mean/max 1/31242.4/69815.1/1654440
hdb_release | character | nonmissing | 2969 | distinct | 2
hdb_address | character | nonmissing | 2969 | distinct | 2883
hdb_units | numeric | nonmissing | 2969 | distinct | 333 min/median/mean/max 6/23/60.24621/1313
hdb_update_date | Date | nonmissing | 2969 | distinct | 987
hdb_stories | numeric | nonmissing | 1960 | distinct | 48 min/median/mean/max 2/6/7.787245/71
address | character | nonmissing | 3349 | distinct | 3244
dob_available | logical | nonmissing | 3349 | distinct | 2
dob_change | numeric | nonmissing | 1993 | distinct | 96 min/median/mean/max -200/0/4.568991/829
available_dob_units | numeric | nonmissing | 3349 | distinct | 350 min/median/mean/max 2/25/63.20066/1803
