file,url,accessed_date,sha256,bytes
shell_acris_legals_focus.json,https://data.cityofnewyork.us/resource/8h5j-fqxa.json?%24where=document_id+in+%28%222022052000328001%22%2C%222022052000544001%22%2C%222022093000168001%22%2C%222022093000197001%22%29&%24order=document_id%2Cborough%2Cblock%2Clot&%24limit=100,2026-09-20,dd5562ae4173c1bcf52f020cf7899d7766a030a409cd5b0d8b00dcdda3ad6589,1732
shell_acris_master_focus.json,https://data.cityofnewyork.us/resource/bnx9-e6tj.json?%24where=document_id+in+%28%222022052000328001%22%2C%222022052000544001%22%2C%222022093000168001%22%2C%222022093000197001%22%29&%24order=document_id&%24limit=100,2026-09-20,88829d11f0f7710467f5e41251c296f1c6bc5873403f9110a38dce8c2dfb33b7,1553
shell_acris_parties_focus.json,https://data.cityofnewyork.us/resource/636b-3b5g.json?%24where=document_id+in+%28%222022052000328001%22%2C%222022052000544001%22%2C%222022093000168001%22%2C%222022093000197001%22%29&%24order=document_id%2Cparty_type%2Cname&%24limit=100,2026-09-20,141e81b1160d931d8c9f1ef8174ac1b6c5f7635f7d7863833a941f2d91bc1be2,1938
vancortlandt_acris_legals_focus.json,https://data.cityofnewyork.us/resource/8h5j-fqxa.json?%24where=document_id+in+%28%222022081800392001%22%2C%222022081800392002%22%2C%222022081900245003%22%2C%222022081900245004%22%29&%24order=document_id%2Cborough%2Cblock%2Clot&%24limit=100,2026-09-20,6414e594cff628f9ab6cdaf8adc39833ab2b498380091f488443fc4bd7d1cee1,1781
vancortlandt_acris_master_focus.json,https://data.cityofnewyork.us/resource/bnx9-e6tj.json?%24where=document_id+in+%28%222022081800392001%22%2C%222022081800392002%22%2C%222022081900245003%22%2C%222022081900245004%22%29&%24order=document_id&%24limit=100,2026-09-20,8b2da2d90f41b09a29b1fccdfe3620bb42dde1540c393bf1a2298dee90fa8651,1569
vancortlandt_acris_parties_focus.json,https://data.cityofnewyork.us/resource/636b-3b5g.json?%24where=document_id+in+%28%222022081800392001%22%2C%222022081800392002%22%2C%222022081900245003%22%2C%222022081900245004%22%29&%24order=document_id%2Cparty_type%2Cname&%24limit=100,2026-09-20,8b69cbbb172b6c2867678007befbe7c271addf6e73f08a54dd3e69b413bc52cf,2388
current_pluto_lots.json,https://data.cityofnewyork.us/resource/64uk-42ks.json?%24where=bbl+in+%283072690001%2C3072690050%2C2032710150%2C2032710160%2C2032710175%29&%24limit=100,2026-09-20,55424b0300302c175e2359547490a7d6c1952c6bc3214b653b01d44d100d436f,6100
current_pluto_metadata.json,https://data.cityofnewyork.us/api/views/64uk-42ks.json,2026-09-20,5aa68a184e483371326dd3a6352b7819016388f867187a40e984a85989b59dd7,202683
vancortlandt_residential_zd1.pdf,https://www.pincusco.com/property-data/ZD1_X00757318_1.pdf,2026-09-20,05825fa8be4c245c7e81d43c5d4233effbb7a7a767534d0046244ca2b9142833,1826604
vancortlandt_school_deed_2022081800392002.pdf,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022081800392002,2026-09-20,058722f0862c4af247ebdb53293394211f695795961a36f54a84777d9cfac6bb,391396
vancortlandt_residential_deed_2022081800392001.pdf,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022081800392001,2026-09-20,5edcd9c5aac942edbb059e71befd2bea69972c6c77ff6e3c03a616600b895d6d,390485
neptune_school_deed_2022052000328001.pdf,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022052000328001,2026-09-20,70a1b63f0bb3f54d8d63e1347fd981271ac6ab2391ee5838fe84c2fd57a96f7b,323542
shell_residential_deed_2022052000544001.pdf,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022052000544001,2026-09-20,6cd61e1cb8bfe1afa62d2cbfd0e0be3dfe09c3742e73b710d6534c9f48c7aba1,321478
vancortlandt_sca_study_access_capture.txt,https://www.nyc.gov/assets/bronxcb8/pdf/2022/Proposed-PS_160-VCPS-BX-EAF-Supp-Report-rev-61622.pdf,2026-09-21,5915617739b2d3678f36d58e5b1148a31dd229bf87d192f38356bf49be283715,1406
