Rows: 8
Columns: 19
Key fields: range_label
Saved-file MD5: de84113012f0a6be95a2944367aaceee
Rows missing a key field: 0
Repeated keys beyond the first row: 0
range_label | character | nonmissing | 8 | distinct | 8
exposure_years__Pre: 2019-2022 | numeric | nonmissing | 8 | distinct | 1 min/median/mean/max 4/4/4/4
exposure_years__Post: 2025-Jul 8, 2026 | numeric | nonmissing | 8 | distinct | 1 min/median/mean/max 1.516769/1.516769/1.516769/1.516769
opportunity_count__Pre: 2019-2022 | numeric | nonmissing | 8 | distinct | 1 min/median/mean/max 599/599/599/599
opportunity_count__Post: 2025-Jul 8, 2026 | numeric | nonmissing | 8 | distinct | 1 min/median/mean/max 319/319/319/319
annualized_opportunity_rate__Pre: 2019-2022 | numeric | nonmissing | 8 | distinct | 1 min/median/mean/max 149.75/149.75/149.75/149.75
annualized_opportunity_rate__Post: 2025-Jul 8, 2026 | numeric | nonmissing | 8 | distinct | 1 min/median/mean/max 210.3154/210.3154/210.3154/210.3154
range_count__Pre: 2019-2022 | numeric | nonmissing | 8 | distinct | 7 min/median/mean/max 0/21.5/28.5/104
range_count__Post: 2025-Jul 8, 2026 | numeric | nonmissing | 8 | distinct | 8 min/median/mean/max 0/9.5/13.875/37
annualized_range_count__Pre: 2019-2022 | numeric | nonmissing | 8 | distinct | 7 min/median/mean/max 0/5.375/7.125/26
annualized_range_count__Post: 2025-Jul 8, 2026 | numeric | nonmissing | 8 | distinct | 8 min/median/mean/max 0/6.263312/9.147732/24.39395
range_share__Pre: 2019-2022 | numeric | nonmissing | 8 | distinct | 7 min/median/mean/max 0/0.03589316/0.0475793/0.1736227
range_share__Post: 2025-Jul 8, 2026 | numeric | nonmissing | 8 | distinct | 8 min/median/mean/max 0/0.02978056/0.0434953/0.1159875
annualized_count_ratio_post_pre | numeric | nonmissing | 7 | distinct | 7 min/median/mean/max 0/0.7607262/5.270124/32.52527
market_scale_ratio_post_pre | numeric | nonmissing | 8 | distinct | 1 min/median/mean/max 1.404444/1.404444/1.404444/1.404444
shape_ratio_post_pre | numeric | nonmissing | 7 | distinct | 7 min/median/mean/max 0/0.5416566/3.752464/23.15883
ratio_identity_error | numeric | nonmissing | 7 | distinct | 2 min/median/mean/max 0/0/4.758099e-17/1.110223e-16
annualized_count_difference_post_pre | numeric | nonmissing | 8 | distinct | 8 min/median/mean/max -6.65704/-0.4878159/2.022732/23.64395
share_difference_post_pre | numeric | nonmissing | 8 | distinct | 8 min/median/mean/max -0.07957882/-0.008328929/-0.004084001/0.1109791
