Rows: 12
Columns: 23
Key fields: parent_id
Saved-file MD5: 4f158a4bf6193f0fc4d94ef6eeccd463
Rows missing a key field: 0
Repeated keys beyond the first row: 0
parent_id | character | nonmissing | 12 | distinct | 12
sample | character | nonmissing | 12 | distinct | 2
component_addresses | character | nonmissing | 12 | distinct | 12
parent_total_units | numeric | nonmissing | 12 | distinct | 12 min/median/mean/max 59/192.5/272.6667/1060
n_components | numeric | nonmissing | 12 | distinct | 2 min/median/mean/max 1/1/1.25/2
reference_vintage | character | nonmissing | 12 | distinct | 5
filing_bbls | character | nonmissing | 12 | distinct | 12
production_area_sqft | numeric | nonmissing | 12 | distinct | 12 min/median/mean/max 2500/41814.5/59489.25/173834
matched_25v4_area_sqft | numeric | nonmissing | 12 | distinct | 12 min/median/mean/max 8952/20237/53764.08/299214
missing_25v4_bbls | numeric | nonmissing | 1 | distinct | 1 min/median/mean/max 3025670000/3025670000/3025670000/3025670000
comparison_area_sqft | numeric | nonmissing | 10 | distinct | 10 min/median/mean/max 8952/20237/33345.5/133540
old_overlap_bbls | character | nonmissing | 12 | distinct | 12
old_overlap_shares | character | nonmissing | 12 | distinct | 12
earlier_attribute_allocation_sqft | numeric | nonmissing | 12 | distinct | 12 min/median/mean/max 8974.267/19897.95/49041.43/252780
old_geometry_coverage | numeric | nonmissing | 12 | distinct | 12 min/median/mean/max 0.7299111/0.9999996/0.9774919/1
dof_geometry_agreement | numeric | nonmissing | 11 | distinct | 11 min/median/mean/max 0.5811886/0.9999974/0.9619239/0.9999987
review_status | character | nonmissing | 12 | distinct | 3
before_map_id | numeric | nonmissing | 12 | distinct | 12 min/median/mean/max 2.029742e+19/2.530632e+19/2.621487e+19/4.099992e+19
after_map_id | numeric | nonmissing | 12 | distinct | 12 min/median/mean/max 2.029742e+19/2.530632e+19/2.621487e+19/4.099992e+19
reviewed_transaction_ids | character | nonmissing | 12 | distinct | 12
review_note | character | nonmissing | 12 | distinct | 12
change_sqft | numeric | nonmissing | 10 | distinct | 10 min/median/mean/max -92996/-11149/-16808.2/16291
change_pct | numeric | nonmissing | 10 | distinct | 10 min/median/mean/max -83.75/-15.86465/56.53154/534.1311
