OBJECTID,Sort_Order,Change_Date,TRANS_NUM,Change_Type,Borough_Name,Borough,Block,Lot,BBL,Change_Action,Auth_for_Change,Change_Date_N,TRANS_NUM_N,Block_N,Lot_N,Link
34648,0,2020-04-16,89746,Lot Apportionment,Bronx,2,2319,37,2023190037,NA,Recorded/Filed : 1/28/2015  City Register File No (CRFN): 2015000030717  Survey By:   SAEID JALILVAND     on date: 3/27/2020,1587059965000,89746,2319,37,"<a href=""https://propertyinformationportal.nyc.gov/parcels/2/2319/37"" target=""_blank"">Go to PIP</a>"
36759,0,2020-04-16,89746,Lot Apportionment,Bronx,2,2319,38,2023190038,NA,Recorded/Filed : 1/28/2015  City Register File No (CRFN): 2015000030717  Survey By:   SAEID JALILVAND     on date: 3/27/2020,1587059965000,89746,2319,38,"<a href=""https://propertyinformationportal.nyc.gov/parcels/2/2319/38"" target=""_blank"">Go to PIP</a>"
42496,0,2020-04-16,89746,Lot Apportionment,Bronx,2,2319,39,2023190039,NA,Recorded/Filed : 1/28/2015  City Register File No (CRFN): 2015000030717  Survey By:   SAEID JALILVAND     on date: 3/27/2020,1587059965000,89746,2319,39,"<a href=""https://propertyinformationportal.nyc.gov/parcels/2/2319/39"" target=""_blank"">Go to PIP</a>"
