borough,block,lot,bbl,lotarea,bldgarea,unitsres,unitstotal,builtfar,residfar,commfar,facilfar,landuse,bldgclass,zonedist1,overlay1,splitzone
2,2319,37,2023190037,35049,83936,46,50,2.39,6.02,5,6.5,03,D9,M1-3/R8,NA,N
2,2319,155,2023190155,5298,0,0,0,0,6.02,5,6.5,11,V1,M1-3/R8,NA,N
