OBJECTID,Borough,Borough_Name,Block,Lot,BBL,Lot_Action,TRANS_NUM
55888,2,Bronx,2319,39,2023190039,New,89746
56119,2,Bronx,2319,37,2023190037,Affected,89746
56626,2,Bronx,2319,38,2023190038,New,89746
