sample,root_job_id,parent_id,date_filed,constituent_units
historical,121189579,historical__121189579,2019-01-16,37
historical,121204641,historical__121204641,2019-01-22,45
historical,121204721,historical__121204721,2019-01-31,361
historical,121204776,historical__121204776,2019-02-07,10
historical,121204801,historical__121204801,2019-02-15,50
historical,121204829,historical__121204829,2019-02-20,29
historical,121204874,historical__121204874,2019-02-28,277
historical,121204892,historical__121204892,2019-03-06,63
historical,121204945,historical__121204945,2019-03-14,10
historical,121204963,historical__121204963,2019-03-15,11
historical,121205025,historical__121205025,2019-03-27,174
historical,121205089,historical__121205089,2019-04-08,10
historical,121205187,historical__121205187,2019-04-24,32
historical,121205203,historical__121205203,2019-04-26,71
historical,121205221,historical__121205221,2019-05-02,144
historical,121205301,historical__121205301,2019-05-17,26
historical,121205356,historical__121205356,2019-05-28,86
historical,121205445,historical__121205445,2019-06-07,164
historical,121205454,historical__121205454,2019-06-07,496
historical,121205481,historical__121205481,2019-06-13,12
historical,121205506,historical__121205506,2019-06-18,12
historical,121205524,historical__121205524,2019-06-21,160
historical,121205597,historical__121205597,2019-06-24,164
historical,121205640,historical__121205640,2019-06-27,229
historical,121205686,historical__121205686,2019-06-28,133
historical,121205711,historical__121205711,2019-07-02,12
historical,121205935,historical__121205935,2019-08-13,31
historical,121206015,historical__121206015,2019-08-27,42
historical,121206042,historical__121206042,2019-08-28,21
historical,121206097,historical__121206097,2019-09-04,357
historical,121206140,historical__121206140,2019-09-16,480
historical,121206186,historical__121206186,2019-09-17,37
historical,121206337,historical__121206337,2019-10-02,52
historical,121206364,historical__121206364,2019-10-09,8
historical,121206417,historical__121206417,2019-10-10,51
historical,121206499,historical__121206499,2019-10-24,108
historical,121206569,historical__121206569,2019-11-13,29
historical,121206676,historical__121206676,2019-12-03,15
historical,121206685,historical__121206685,2019-12-04,142
historical,121206756,historical__121206756,2019-12-06,14
historical,121206818,historical__121206818,2019-12-20,97
historical,121207014,historical__121207014,2020-01-27,131
historical,121207185,historical__121207185,2020-02-14,14
historical,121207292,historical__121207292,2020-03-06,378
historical,121207522,historical__121207292,2020-04-10,117
historical,121207309,historical__121207309,2020-03-09,330
historical,121207354,historical__121207354,2020-03-23,81
