file,publisher,url,accessed_date,sha256,bytes,storage
dob_bis_421067767.json,NYC Department of Buildings via NYC Open Data,https://data.cityofnewyork.us/resource/ic3t-wcy2.json?job__=421067767,2026-09-22,f514262ba952efa9ffa4a1587231bb0e9daaefc8aca6be099db6b083fe751ca8,8185,/private/tmp/reopened_08/dob_bis_421067767.json
dob_bis_420665667.json,NYC Department of Buildings via NYC Open Data,https://data.cityofnewyork.us/resource/ic3t-wcy2.json?job__=420665667,2026-09-22,332f613adc1e6741d5b9b94df20ac38f3717b38ef4c28735d1bea00c89dcab4c,12945,/private/tmp/reopened_08/dob_bis_420665667.json
180385.pdf,NYC City Planning Commission,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/180385.pdf,2026-09-22,,,web read only
180382.pdf,NYC City Planning Commission,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/180382.pdf,2026-09-22,,,web read only
180383.pdf,NYC City Planning Commission,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/180383.pdf,2026-09-22,,,web read only
