term_category,regex,notes
public,"CITY OF NEW YORK|NEW YORK CITY|\\bNYC\\b|DEPARTMENT OF|\\bDEPT\\b|HOUSING PRESERVATION|\\bHPD\\b|NYCHA|HOUSING AUTHORITY|NYCIDA|INDUSTRIAL DEVELOPMENT AGENCY|\\bHDC\\b|\\bEDC\\b|\\bMTA\\b|PORT AUTHORITY|STATE OF NEW YORK|UNITED STATES|\\bHUD\\b",Public or quasi-public party names
hdfc,"\\bHDFC\\b|HOUSING DEVELOPMENT FUND",Housing Development Fund Corporation
nonprofit_religious,"CHURCH|SYNAGOGUE|TEMPLE|MOSQUE|MINISTR|DIOCESE|PARISH|CONGREGATION|FOUNDATION|NOT FOR PROFIT|NONPROFIT|NON PROFIT|CHARITABLE|MISSION|COMMUNITY DEVELOPMENT CORPORATION",Religious or nonprofit party terms
trust_estate,"\\bTRUST\\b|TRUSTEE|ESTATE OF|EXECUTOR|EXECUTRIX|ADMINISTRATOR",Trust or estate terms
timeshare_hotel,"HILTON GRAND VACATIONS|TIMESHARE|TIME SHARE|VACATION CLUB",Timeshare or hotel-unit churn terms
related_terms,"NOMINEE|SUCCESSOR|MEMBER|MANAGING MEMBER|ASSIGNEE|MERGER|CONVERSION|DISSOLUTION|AFFILIATE",Related-party reorganization terms
llc,"\\bL\\s*L\\s*C\\b|\\bLLC\\b|LIMITED LIABILITY",Private LLC terms
