OBJECTID,Borough,Borough_Name,Block,Lot,BBL,Lot_Action,TRANS_NUM
65378,3,Brooklyn,2472,21,3024720021,Affected,84181
65059,3,Brooklyn,2472,3,3024720003,Affected,84181
61939,3,Brooklyn,2472,2,3024720002,Affected,86750
61940,3,Brooklyn,2472,21,3024720021,Affected,86750
52992,3,Brooklyn,2472,2,3024720002,Affected,87034
52991,3,Brooklyn,2472,21,3024720021,Affected,87034
