OBJECTID,Sort_Order,Change_Date,TRANS_NUM,Change_Type,Borough_Name,Borough,Block,Lot,BBL,Change_Action,Auth_for_Change,Change_Date_N,TRANS_NUM_N,Block_N,Lot_N,Link
36935,0,2018-12-20,83289,Lot Merger,Brooklyn,3,2472,2,3024720002,,Step one of apportionment,1545318856000.0,83289,2472,2,"<a href=""https://propertyinformationportal.nyc.gov/parcels/3/2472/2"" target=""_blank"">Go to PIP</a>"
62422,0,2018-12-20,83289,Lot Merger,Brooklyn,3,2472,21,3024720021,,Step one of apportionment,1545318856000.0,83289,2472,21,"<a href=""https://propertyinformationportal.nyc.gov/parcels/3/2472/21"" target=""_blank"">Go to PIP</a>"
64799,0,2018-12-20,83294,Lot Apportionment,Brooklyn,3,2472,2,3024720002,,"Deed recorded CRFN# 2005000628273 ,   11-10-2005 Survey bu Paul D Fisher,10/5/2018",1545324588000.0,83294,2472,2,"<a href=""https://propertyinformationportal.nyc.gov/parcels/3/2472/2"" target=""_blank"">Go to PIP</a>"
22756,0,2018-12-20,83294,Lot Apportionment,Brooklyn,3,2472,21,3024720021,,"Deed recorded CRFN# 2005000628273 ,   11-10-2005 Survey bu Paul D Fisher,10/5/2018",1545324588000.0,83294,2472,21,"<a href=""https://propertyinformationportal.nyc.gov/parcels/3/2472/21"" target=""_blank"">Go to PIP</a>"
33007,0,2018-12-20,83294,Lot Apportionment,Brooklyn,3,2472,3,3024720003,,"Deed recorded CRFN# 2005000628273 ,   11-10-2005 Survey bu Paul D Fisher,10/5/2018",1545324588000.0,83294,2472,3,"<a href=""https://propertyinformationportal.nyc.gov/parcels/3/2472/3"" target=""_blank"">Go to PIP</a>"
53347,0,2019-03-01,84181,Digital Alteration Book Wizard,Brooklyn,3,2472,21,3024720021,,Correction to tax lot 21 and 3 lot face.,1551438584000.0,84181,2472,21,"<a href=""https://propertyinformationportal.nyc.gov/parcels/3/2472/21"" target=""_blank"">Go to PIP</a>"
59844,0,2019-03-01,84181,Digital Alteration Book Wizard,Brooklyn,3,2472,3,3024720003,,Correction to tax lot 21 and 3 lot face.,1551438584000.0,84181,2472,3,"<a href=""https://propertyinformationportal.nyc.gov/parcels/3/2472/3"" target=""_blank"">Go to PIP</a>"
