file,url,retrieved,sha256,bytes
dof_map_30231520260601154944.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/30231520260601154944,2026-09-16,57733d05201bf8a30f69d7969047ace12198efa90ee49d20d51af3c7ab46f88d,1173607
dof_map_30395820260520142453.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/30395820260520142453,2026-09-16,850a779d8fbbd37d2ade2dcb91e6c5312270d9566d83eaea70819b52afd03ac5,2076132
dof_map_30727420250214160509.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/30727420250214160509,2026-09-16,f7f5fb2ac5a37fc485474fa5db9fdf3d47d028b719adc2af44287d4bb53031fe,1695149
dof_map_30823520251202145125.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/30823520251202145125,2026-09-16,ad33ef6ab189e23e6e08fa5774bb13052323dcbcb7c45ff5c00905fc96db5458,5501862
current_lots_epsg2263.geojson,https://services6.arcgis.com/yG5s3afENB5iO9fj/ArcGIS/rest/services/DTM_ETL_DAILY_view/FeatureServer/0/query?f=geojson&where=BBL%20IN%20(3023150033%2C3023150133%2C3039580048%2C3039580049%2C3039580148%2C3072740025%2C3072740030%2C3082350339%2C3082350340%2C3082350341%2C3082350342)&outFields=BBL&outSR=2263&returnGeometry=true,2026-09-16,964a3a1953db4266fa1411b341725afaf2edc41b5610d9e7e459ad3abc790197,3962
dob_now_jobs_round2.json,https://data.cityofnewyork.us/resource/w9ak-ipjd.json?$where=job_filing_number%20in%20(%22B01206874-I1%22%2C%22B01225983-I1%22%2C%22B01241582-I1%22%2C%22B01268544-I1%22%2C%22B01297622-I1%22%2C%22B01333932-I1%22)&$order=job_filing_number&$limit=20,2026-09-16,70f90621a85779738e2b09d7ba77e33fbbb078427e7f47f43dcfefb74f10796f,18197
acris_legals_round2.json,https://data.cityofnewyork.us/resource/8h5j-fqxa.json?$where=borough%3D3%20AND%20((block%3D2315%20AND%20lot%20in%20(33%2C133))%20OR%20(block%3D3958%20AND%20lot%20in%20(48%2C49%2C148))%20OR%20(block%3D7274%20AND%20lot%20in%20(25%2C30))%20OR%20(block%3D8235%20AND%20lot%20in%20(339%2C340%2C341%2C342)))%20AND%20document_id%20%3E%3D%20%222024010100000000%22&$order=document_id%2Cblock%2Clot&$limit=500,2026-09-16,c3007f01baddf68daf919929d06c8dcb8cf2b698bfb9cbeffcbe3b8f027e94ad,48332
acris_master_round2.json,https://data.cityofnewyork.us/resource/bnx9-e6tj.json?$where=document_id%20like%20%222026080700950%25%22%20OR%20document_id%20like%20%222026010500213%25%22%20OR%20document_id%20like%20%222025091200907%25%22%20OR%20document_id%20like%20%222026022500765%25%22&$order=document_id&$limit=100,2026-09-16,57b88556d4a2f096b618e2c0fcb2a5a26f745389eb89b44672a535792ee1cdcf,9500
acris_parties_round2.json,https://data.cityofnewyork.us/resource/636b-3b5g.json?$where=document_id%20like%20%222026080700950%25%22%20OR%20document_id%20like%20%222026010500213%25%22%20OR%20document_id%20like%20%222025091200907%25%22%20OR%20document_id%20like%20%222026022500765%25%22&$order=document_id%2Cparty_type&$limit=500,2026-09-16,a83a6421b174559a83c643838df7bc0199fc5396b6d7b21b2728c5c5adcc487c,15568
acris_legals_round3.json,https://data.cityofnewyork.us/resource/8h5j-fqxa.json?%24where=borough%3D3+AND+%28%28block%3D2315+AND+lot+in+%2833%2C133%29%29+OR+%28block%3D3958+AND+lot+in+%2848%2C49%2C148%29%29+OR+%28block%3D3183+AND+lot+in+%287%2C71%29%29%29+AND+document_id+%3E%3D+%222024010100000000%22&%24order=document_id%2Cblock%2Clot&%24limit=1000,2026-09-16,7760c517acfa5d4120a8127c72705940d1ac5c9e170c801bd1ddd376fd239d20,29893
