file,url,pdf_pages_reviewed,retrieved,sha256,bytes
../../output/orchard_site_management_2024-12-12.pdf,https://extapps.dec.ny.gov/data/DecDocs/C241256/Work%20Plan.BCP.C241256.2024-12-12.SMP.pdf,13;41;139;147,2026-09-20,231bffb65738d0d9055b946b281304657f220227a631cf4b67b413048a046f63,60485076
../../output/orchard_remedial_investigation_2022-08-15.pdf,https://extapps.dec.ny.gov/data/DecDocs/C241256/Report.BCP.C241256.2022-08-15.RIR.pdf,9;11;53,2026-09-20,fd90e2dba7002cd3ce4ff52a99d42c6ea75847e0179902e1a2ef91f70db5f94d,10948402
../../output/webster_mta_property_interests_2023-02-23.pdf,https://www.mta.info/document/105851,1-2,2026-09-20,89730b41f461e2d9c9a6e9e2ac15ef8789e35e2b71e6ac0cd461bdee9ed22013,157068
