Rows: 183
Columns: 40
Key fields: parent_id, vintage
Saved-file MD5: a5e628d94b71e53fd0aca824825b9464
Rows missing a key field: 0
Repeated keys beyond the first row: 0
parent_id | character | nonmissing | 183 | distinct | 161
vintage | character | nonmissing | 183 | distinct | 17
old_lots | numeric | nonmissing | 183 | distinct | 11 min/median/mean/max 0/2/2.278689/18
old_bbls | character | nonmissing | 178 | distinct | 155
partial_old_lots | numeric | nonmissing | 183 | distinct | 7 min/median/mean/max 0/1/0.8142077/7
old_recorded_sqft | numeric | nonmissing | 178 | distinct | 151 min/median/mean/max 2000/37486/91656.25/1227637
covered_sqft | numeric | nonmissing | 183 | distinct | 166 min/median/mean/max 0/22716.52/45271.28/641256.4
material_overlap_sqft | numeric | nonmissing | 183 | distinct | 166 min/median/mean/max 0/22716.52/45271.02/641256.4
whole_old_geometry_sqft | numeric | nonmissing | 178 | distinct | 165 min/median/mean/max 2045.672/38016.77/84706.77/1235772
sample | character | nonmissing | 183 | distinct | 2
component_addresses | character | nonmissing | 183 | distinct | 161
parent_total_units | numeric | nonmissing | 183 | distinct | 125 min/median/mean/max 50/174/253.2951/1386
n_components | numeric | nonmissing | 183 | distinct | 7 min/median/mean/max 1/1/1.721311/8
production_area_sqft | numeric | nonmissing | 183 | distinct | 154 min/median/mean/max 1360/28650/66395.62/1227637
reason | character | nonmissing | 183 | distinct | 6
mixed_vintages | logical | nonmissing | 183 | distinct | 2
condo_scope_review | logical | nonmissing | 183 | distinct | 2
source_bbl_disagreement | logical | nonmissing | 183 | distinct | 2
unusual_change | logical | nonmissing | 183 | distinct | 2
requested_lots | numeric | nonmissing | 183 | distinct | 7 min/median/mean/max 1/1/1.606557/8
mapped_lots | numeric | nonmissing | 183 | distinct | 8 min/median/mean/max 0/1/1.497268/8
missing_later_bbls | character | nonmissing | 17 | distinct | 15
missing_lots_seen_earlier | numeric | nonmissing | 183 | distinct | 2 min/median/mean/max 0/0/0.0273224/1
mapped_bbls | character | nonmissing | 178 | distinct | 154
later_recorded_sqft | numeric | nonmissing | 166 | distinct | 142 min/median/mean/max 2000/22774/47490.48/634391
base_requested_lots | numeric | nonmissing | 183 | distinct | 8 min/median/mean/max 1/1/1.628415/8
base_mapped_lots | numeric | nonmissing | 183 | distinct | 8 min/median/mean/max 0/1/1.273224/8
base_mapped_bbls | character | nonmissing | 159 | distinct | 138
base_missing_bbls | character | nonmissing | 41 | distinct | 34
later_geometry_sqft | numeric | nonmissing | 178 | distinct | 154 min/median/mean/max 2045.673/23025.52/46811.82/641256.5
earlier_coverage_share | numeric | nonmissing | 178 | distinct | 165 min/median/mean/max 0.7299111/0.999999/0.9981648/1
later_uncovered_share | numeric | nonmissing | 178 | distinct | 165 min/median/mean/max -4.449774e-13/1.023494e-06/0.001839993/0.2700889
old_outside_share | numeric | nonmissing | 178 | distinct | 165 min/median/mean/max 1.728596e-10/0.1467884/0.2642501/0.9671852
geometry_pattern | character | nonmissing | 183 | distinct | 4
source_scope_review | logical | nonmissing | 183 | distinct | 2
old_recorded_difference_pct | numeric | nonmissing | 178 | distinct | 165 min/median/mean/max -49.04172/-1.372914/1.732791/131.23
later_recorded_difference_pct | numeric | nonmissing | 166 | distinct | 145 min/median/mean/max -85.18071/-1.58948/-1.106984/100.6877
later_vs_production_pct | numeric | nonmissing | 166 | distinct | 145 min/median/mean/max -96.69678/1.19297/37.79088/840.7446
whole_lot_candidate_sqft | numeric | nonmissing | 57 | distinct | 47 min/median/mean/max 2045.672/20743.91/54233.92/388503
candidate_vs_production_pct | numeric | nonmissing | 57 | distinct | 47 min/median/mean/max -71.54906/3.201628/56.45982/743.7677
