source_id,pull_date,file_role,row_count,source_updated_at,latest_form_submission_date,raw_path,status,source_url
hpd_485x_registrations,20260820,building_registration_submissions,312,2026-04-03 18:48:34 UTC,2026-03-31T15:41:50.000,../../../data_raw/hpd_485x_registrations/20260820/hpd_485x_registrations.csv,already_present,https://data.cityofnewyork.us/resource/rrtd-iyd7.csv?$order=no&$limit=50000
hpd_485x_registrations,20260820,socrata_metadata,,2026-04-03 18:48:34 UTC,,../../../data_raw/hpd_485x_registrations/20260820/hpd_485x_registrations_metadata.json,already_present,https://data.cityofnewyork.us/api/views/rrtd-iyd7
