series,mean_units,share_99,share_100,share_198,share_99x2,share_J2,share_J3plus,share_301plus,units_301plus_per_parent
historical,151.38042550440758,0.013536772442438772,0.006269951830980218,0,0,0.03092712901110488,0.009946534169492451,0.09948188993411637,51.6886567235003
joint_assessment,149.53938035761732,0.1403360636395704,0,0,0,0.03092712901110488,0.00994653416949245,0.09948188993411636,51.68865672350033
post_policy,136.5838709677417,0.11935483870967734,0,0.029032258064516134,0.029032258064516134,0.13225806451612895,0.03548387096774194,0.07741935483870967,38.090322580645164
separate_baseline,149.78315200640134,0.12617380969694228,2.9071700167959954e-6,0.0018647065730698377,0.0018647065730698377,0.04426551211096974,0.12296053320635118,0.09835848879655901,51.33259459183179
