weighting,kappa,sigma_org,objective,objective_J1,objective_J2,objective_J3plus,counterfactual_units,observed_units,predicted_units,model_difference,direct_difference,effective_historical_size,maximum_moment_error,weighted_multilot_share
baseline,0.11,1.1,0.00632897932846747,0.002754871686447577,0.001925863554058611,0.0016482440879613267,46927.93190636635,42341,46432.777121984414,495.1547843819353,4586.93190636635,493.7590461810217,6.464233592851087e-10,0.04123131033437323
include_multilot,0.115,1.3,0.0078338103549411,0.004341764971703302,0.002129100080876737,0.001362945302361061,50944.311663016684,42341,50459.18732274053,485.1243402761538,8603.311663016684,445.14446687374993,4.1085854718403425e-9,0.10967741935501828
