threshold_total,post_parents,historical_parent_equivalents,excess_parents,origin_min,continuous_origin_bound,origin_max,assumed_mean_reduction,illustrative_unit_reduction
99,37,4.1963994571560095,32.80360054284399,100,131.83458542451845,131,16.5,541.2594089569258
198,9,0,9,199,230.83458542451845,230,16.5,148.5
