specification,assessment,lambda,J_cap,fit_id,kappa,tau,sigma_org,original_grid,objective,mean_units,share_99,share_198,share_multi,counterfactual_units,observed_units,predicted_units,fixed_organization_units,direct_difference,model_difference,units_from_reorganization,rank,objective_gap
joint_assessment,joint,1,6,681,0.1,0,0.0025,TRUE,0.010967680919096343,149.53938035761732,0.1403360636395704,0,0.040873663180597326,46927.93190636635,42341,46357.20791086137,46357.20791086137,4586.93190636635,570.7239955049808,0,1,0
lambda_half,separate,0.5,6,819,0.025,0,0.25,FALSE,0.006606949463484083,150.17261421980893,0.11077696327214519,0.0017431031765561165,0.17356630667749776,46927.93190636635,42341,46553.51040814077,46473.33182112466,4586.93190636635,374.42149822557985,80.17858701611112,1,0
lambda_two,separate,2,6,1087,0.3,0,5,FALSE,0.006901341308794972,149.90402988531508,0.1243641381130174,7.764280227857917e-4,0.1242204859055536,46927.93190636635,42341,46470.24926444767,46408.222417060955,4586.93190636635,457.6826419186764,62.026847386718146,1,0
menu_plus_one,separate,1,7,1217,0.075,0,1,FALSE,0.006765403558520569,150.09084346015493,0.11525417384931581,0.0011581722810939685,0.16436485721070457,46927.93190636635,42341,46528.161472648026,46442.93923593627,4586.93190636635,399.77043371832406,85.22223671175743,1,0
separate_baseline,separate,1,6,366,0.11,0,1.1,FALSE,0.006328979328467471,149.78315200640134,0.12617380969694228,0.0018647065730698377,0.16722604531732152,46927.93190636635,42341,46432.777121984414,46340.35040715065,4586.93190636635,495.1547843819353,92.42671483376762,1,0
