filing_year,parents,parents_301plus,share_301plus,mean_units
2019,123,15,0.12195121951219512,162.36585365853657
2020,112,16,0.14285714285714285,168.26785714285717
2021,153,31,0.20261437908496732,193.67320261437908
2022,166,16,0.0963855421686747,169.52409638554218
