sample,parent_id,cohort_date,source_end_date,parent_total_units,n_components,sorted_component_vector,component_addresses,splitting_verification_status,right_window_observed,lot_area_sqft,residential_far,built_far,borough,multi_lot_indicator,weight
historical,historical__121204801,2019-02-15,2023-12-29,50,1,50,540 6 AVENUE,not_applicable_single_component,TRUE,4275,7.52,3.95,Manhattan,0,0.0018847875387301314
historical,historical__121204874,2019-02-28,2023-12-29,277,1,277,606 WEST 30 STREET,not_applicable_single_component,TRUE,14812,10,1.08,Manhattan,0,6.718715510645551e-4
historical,historical__121204892,2019-03-06,2023-12-29,63,1,63,310 EAST 86 STREET,not_applicable_single_component,TRUE,1788,10,2.63,Manhattan,0,0.0012960110522903016
historical,historical__121205203,2019-04-26,2023-12-29,71,1,71,181 EAST 101 STREET,not_applicable_single_component,TRUE,8092,6,2.99,Manhattan,0,0.0016448954048407024
historical,historical__121205221,2019-05-02,2023-12-29,144,1,144,200 EAST 34 STREET,not_applicable_single_component,TRUE,5604,10,3.4399999999999995,Manhattan,0,0.0012570844147896175
historical,historical__121205356,2019-05-28,2023-12-29,86,1,86,200 EAST 83 STREET,not_applicable_single_component,TRUE,1773,10,3.28,Manhattan,0,0.001475078142509238
historical,historical__121205445,2019-06-07,2023-12-29,164,1,164,37 HILLSIDE AVENUE,not_applicable_single_component,TRUE,20375,3.44,0.26,Manhattan,0,0.0010771429606115364
historical,historical__121205454,2019-06-07,2023-12-29,496,1,496,451 10 AVENUE,not_applicable_single_component,TRUE,17275,10,0,Manhattan,0,5.294148475322708e-4
historical,historical__121205524,2019-06-21,2023-12-29,160,1,160,88 EAST 127 STREET,not_applicable_single_component,TRUE,1415,0,0,Manhattan,0,0.0022859594202875285
historical,historical__121205597,2019-06-24,2023-12-29,164,1,164,300 EAST 103 STREET,not_applicable_single_component,TRUE,2592,6,4.52,Manhattan,0,0.002686890165493765
historical,historical__121205640,2019-06-27,2023-12-29,229,1,229,509 3 AVENUE,not_applicable_single_component,TRUE,4933,10,2.96,Manhattan,0,0.001168209891667309
historical,historical__121205686,2019-06-28,2023-12-29,133,1,133,339 EAST 33 STREET,not_applicable_single_component,TRUE,1975,10,2.02,Manhattan,0,0.0011304372681911485
historical,historical__121206140,2019-09-16,2023-12-29,480,1,480,241 WEST 28 STREET,not_applicable_single_component,TRUE,9885,10,0,Manhattan,0,5.809308005434073e-4
historical,historical__121206337,2019-10-02,2023-12-29,52,1,52,232 EAST BROADWAY,not_applicable_single_component,TRUE,5225,6.02,8.44,Manhattan,0,0.005164100586270332
historical,historical__121206417,2019-10-10,2023-12-29,51,1,51,15 WEST 118 STREET,not_applicable_single_component,TRUE,5164,3.44,0,Manhattan,0,0.0012858575888682767
historical,historical__121206499,2019-10-24,2023-12-29,108,1,108,202 EAST 23 STREET,not_applicable_single_component,TRUE,2500,10,2.8,Manhattan,0,0.0012674614657891036
historical,historical__121206685,2019-12-04,2023-12-29,142,1,142,600 WEST 125 STREET,not_applicable_single_component,TRUE,18100,6.02,0.19,Manhattan,0,8.271310691773273e-4
historical,historical__121206818,2019-12-20,2023-12-29,97,1,97,1975 MADISON AVENUE,not_applicable_single_component,TRUE,13168,3.44,0.96,Manhattan,0,0.0013294825362823517
historical,historical__121207014,2020-01-27,2023-12-29,131,1,131,2555 BROADWAY,not_applicable_single_component,TRUE,12588,10,2.25,Manhattan,0,8.691913302400444e-4
historical,historical__121207292,2020-03-06,2023-12-29,495,2,378+117,55 SUFFOLK STREET;64 NORFOLK STREET,suggestive_separate_components,TRUE,32395,6.02,0,Manhattan,1,7.232216691563931e-4
historical,historical__121207309,2020-03-09,2023-12-29,330,1,330,312 WEST 43 STREET,not_applicable_single_component,TRUE,15975,10,3.91,Manhattan,0,0.001158482796508688
historical,historical__121207354,2020-03-23,2023-12-29,81,1,81,2686 BROADWAY,not_applicable_single_component,TRUE,3531,7.52,4.33,Manhattan,0,0.002096903711603584
