size_bin,historical_raw_parents,historical_parents,historical_units,historical_mean_units,post_parents,post_units,post_mean_units,parent_difference,unit_gap
50-98,243,152.81063467915325,10185.344916476055,66.65337748162341,166,11667,70.28313253012048,-13.189365320846747,-1481.655083523945
99,7,4.1963994571560095,415.4435462584449,98.99999999999999,37,3663,99,-32.80360054284399,-3247.5564537415553
100-149,98,55.79595219010509,6726.972247109543,120.5638040585767,28,3551,126.82142857142857,27.79595219010509,3175.972247109543
150-197,66,34.98529612023533,5955.517223375276,170.2291500665799,22,3811,173.22727272727272,12.985296120235333,2144.5172233752764
198,0,0,0,,9,1782,198,-9,-1782
199-300,62,31.372331673773814,7621.17038886179,242.9264891150193,24,6059,252.45833333333334,7.3723316737738145,1562.1703888617903
301+,78,30.839385879575975,16023.483584285039,519.5785560339879,24,11808,492,6.839385879575975,4215.483584285039
