parent_id,borough,component_addresses,cohort_date,parent_total_units,n_components,sorted_component_vector,splitting_verification_status,right_window_observed,n_constituents_at_99,n_constituents_100plus,all_constituents_below_100
post_policy__B01390326-I1,Brooklyn,1070 PACIFIC STREET;971 DEAN STREET;985 DEAN STREET,2026-04-29,228,3,82+82+64,unable_to_verify,FALSE,0,0,TRUE
post_policy__Q01177691-I1,Queens,137 BEACH 30 STREET;139 BEACH 29 STREET;147 BEACH 30 STREET,2025-02-11,230,3,99+74+57,suggestive_separate_components,TRUE,1,0,TRUE
post_policy__Q01261008-I1,Queens,32-08 38 AVENUE;38-11 32 STREET;38-12 33 STREET,2025-08-04,253,3,87+84+82,suggestive_separate_components,FALSE,0,0,TRUE
post_policy__X01250398-I1,Bronx,2054 WALTON AVENUE;2060 WALTON AVENUE;57 EAST BURNSIDE AVENUE,2025-07-14,255,3,94+84+77,suggestive_separate_components,FALSE,0,0,TRUE
post_policy__Q01338971-I1,Queens,54-08 MYRTLE AVENUE;54-16 MYRTLE AVENUE;7-45 WYCKOFF AVENUE,2025-12-29,289,3,99+98+92,suggestive_separate_components,FALSE,1,0,TRUE
post_policy__X01223342-I1,Bronx,4121 THIRD AVENUE;4133 THIRD AVENUE;4137 THIRD AVENUE,2025-07-31,297,3,99+99+99,suggestive_separate_components,FALSE,3,0,TRUE
post_policy__X01338717-I1,Bronx,122 BRUCKNER BOULEVARD;20 BROOK AVENUE;521 EAST 132 STREET,2026-04-27,297,3,99+99+99,suggestive_separate_components,FALSE,3,0,TRUE
post_policy__B01172199-I1,Brooklyn,265 WYCKOFF STREET;270 BERGEN STREET;280 BERGEN STREET;290 BERGEN STREET,2025-02-19,367,4,99+99+99+70,verified_separate_485x_units,TRUE,3,0,TRUE
post_policy__B01316595-I1,Brooklyn,54 SULLIVAN PLACE;62 SULLIVAN PLACE;73 EMPIRE BOULEVARD;99 EMPIRE BOULEVARD,2025-12-04,396,4,99+99+99+99,suggestive_separate_components,FALSE,4,0,TRUE
post_policy__Q01243880-I1,Queens,89-01 165 STREET;89-25 165 STREET;89-35 165 STREET;89-39 165 STREET;89-49 165 STREET;89-53 165 STREET,2025-07-11,591,6,99+99+99+99+99+96,unable_to_verify,FALSE,5,0,TRUE
post_policy__B00738795-I1,Brooklyn,209 WEST STREET;21 FREEMAN STREET;37 FREEMAN STREET,2025-03-06,1023,3,526+287+210,unable_to_verify,TRUE,0,3,FALSE
