Rows: 24144
Columns: 32
Key fields: job_number
Saved-file MD5: 3c4843596f5d3d8697e3de1569d767fe
Rows missing a key field: 0
Repeated keys beyond the first row: 0
job_number | character | nonmissing | 24144 | distinct | 24144
hdb_release | character | nonmissing | 24144 | distinct | 1
historical_active | logical | nonmissing | 24144 | distinct | 2
job_status | character | nonmissing | 24144 | distinct | 5
date_filed | Date | nonmissing | 24144 | distinct | 3583
filing_year | integer | nonmissing | 24144 | distinct | 14 min/median/mean/max 2010/2016/2016.427/2023
bbl | character | nonmissing | 24144 | distinct | 20251
bin | character | nonmissing | 24144 | distinct | 21879
address | character | nonmissing | 24144 | distinct | 22520
hdb_borough_name | character | nonmissing | 24144 | distinct | 5
classa_prop | numeric | nonmissing | 24144 | distinct | 454 min/median/mean/max 0/2/17.34986/1313
classa_prop_integer | logical | nonmissing | 24144 | distinct | 2
valid_bbl | logical | nonmissing | 24144 | distinct | 1
pluto_source_id_used | character | nonmissing | 24144 | distinct | 2
pluto_version_used | character | nonmissing | 24144 | distinct | 40
pluto_safe_available_date_used | Date | nonmissing | 24144 | distinct | 40
pluto_feature_bbl | character | nonmissing | 24144 | distinct | 16593
appbbl_recovery_used | logical | nonmissing | 24144 | distinct | 2
appbbl_future_appdate_used_for_linkage | logical | nonmissing | 24144 | distinct | 2
primary_leakage_safe_sample | logical | nonmissing | 24144 | distinct | 2
exclusion_reason | character | nonmissing | 24144 | distinct | 4
pluto_cd | integer | nonmissing | 23400 | distinct | 60 min/median/mean/max 0/404/367.6771/503
zonedist1 | character | nonmissing | 23383 | distinct | 149
landuse | character | nonmissing | 22993 | distinct | 20
lotarea | numeric | nonmissing | 23400 | distinct | 5135 min/median/mean/max 0/5000/294066.8/12253430
bldgarea | numeric | nonmissing | 23400 | distinct | 3703 min/median/mean/max 0/1125/10951.56/2598091
unitsres | numeric | nonmissing | 23400 | distinct | 114 min/median/mean/max 0/0/41.93205/1887
builtfar | numeric | nonmissing | 23400 | distinct | 520 min/median/mean/max 0/0.17/0.4072009/39.59
maxallwfar | numeric | nonmissing | 5348 | distinct | 30 min/median/mean/max 0/0.9/1.754903/15
residfar | numeric | nonmissing | 18052 | distinct | 30 min/median/mean/max 0/0.9/1.787012/12
commfar | numeric | nonmissing | 18052 | distinct | 16 min/median/mean/max 0/0/0.4024429/15
facilfar | numeric | nonmissing | 18052 | distinct | 20 min/median/mean/max 0/2/2.668372/15
