filename,source_url,retrieved_date,sha256,bytes,status
thieriot_before.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20373020081205173801,2026-09-20,d04673b44ea197d76892d59d322a344f3fe9779bcc846430fdbb8af404ac4117,145405,original PDF
thieriot_after.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20373020210520092532,2026-09-20,15ba8104f5e047dec57e94946495e98d2ffe62becfca7513e8080a8973f9aea3,155071,original PDF
story_before.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20362720181219165934,2026-09-20,8046617455b1859accf33f6cdb3c158084bd9f6d3f2e0cc3d935cc7ef9f6728b,178248,original PDF
story_after.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20362720191112150303,2026-09-20,c9ab5262c9517503119744321f8c9c5f0c60f39b3cc823cd3034af3e294eec3e,181855,original PDF
jerome_before.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20319020081205133939,2026-09-20,8fd9253003660853077296f95e291dc6fefdc527bd545897b438ead45cc52454,134057,original PDF
jerome_after.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20319020210421110212,2026-09-20,404a239a25a6c0ed4ed4107a64747bce9a74109d5cee3a2b55355d88a403d3e6,143693,original PDF
exterior_cohort.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20234920200227090957,2026-09-20,3a1ffd82076b338429ffa61734a94e4dc96fbc183150b401cd1a32d8e8461ee5,279185,original PDF
exterior_after.pdf,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20234920230104164053,2026-09-20,b15cd95f52dabd5ef78f8048993ca708ca108843ba5e95f3df9582e3a802c872,263627,original PDF
thieriot_hdc_memo_202105.pdf,https://www.nychdc.com/sites/default/files/2021-05/0MEMO-~1.PDF,2026-09-20,5581b88a16959b63d4ea7e42d1636bf7729c68c9cacfd5f0acb09ac784c09128,973922,original PDF
exterior_bcp_application_20200204.pdf,https://extapps.dec.ny.gov/data/DecDocs/C203129/Application.BCP.C203129.2020-02-04.Complete_BCP_Application.pdf,2026-09-20,92967bbb95705f943852bbbbb16777ae6d982077cba3c3da4935a1a81eea7698,23645828,original PDF
exterior_bca_20200430.pdf,https://extapps.dec.ny.gov/data/DecDocs/C203129/Agreement.BCP.C203129.2020-04-30.Executed_BCA.pdf,2026-09-20,772069a798be8a99e557615c2af025cd86f04d60cf3333063f1471b6766cf2ea,1157677,original PDF
current_pluto_lots.json,https://data.cityofnewyork.us/resource/64uk-42ks.json?%24where=bbl%20in%20%282037300001%2C2037300039%2C2036270001%2C2036270010%2C2036270020%2C2036270025%2C2036270045%2C2036270050%2C2031900001%2C2031900010%2C2031900050%2C2031900056%2C2023490038%2C2023490046%2C2023490047%2C2023490100%29&%24limit=100,2026-09-20,2f05756c5cd78f28d28ae6fae2e7327ae04e39fa4260dc5127694dd9821bb3d3,20665,original API response
nycha_20200729_board_web_extract.txt,https://www.nyc.gov/assets/nycha/downloads/pdf/board-meetings/archives-2020-2011/board_meeting_minutes_07292020.pdf,2026-09-20,c576f6623c674153744d7cdeb5f992ab80b93d7391fcd4dca11a93f7d164d0b8,2355,web-extracted text only; original PDF direct download HTTP 403
casa_acris_legals_lot39.json,https://data.cityofnewyork.us/resource/8h5j-fqxa.json?%24where=borough%3D%272%27+AND+block%3D%273730%27+AND+lot%3D%2739%27&%24limit=5000,2026-09-20,87111acae09fc767dc530527b3b5aa8d50954a90f5b831a97fbd5731c8485d82,4076,original API response
casa_acris_legals_lot1.json,https://data.cityofnewyork.us/resource/8h5j-fqxa.json?%24where=borough%3D%272%27+AND+block%3D%273730%27+AND+lot%3D%271%27&%24limit=5000,2026-09-20,1a75d1979a4cd0dd616400f103b7ab7a9aa07d5e0e6b7859371d2ffae17ed907,2848,original API response
casa_acris_master.json,https://data.cityofnewyork.us/resource/bnx9-e6tj.json?%24where=document_id+in+%28%272005050300681001%27%2C%272020052200513001%27%2C%272020052200513002%27%2C%272021063001174001%27%2C%272021063001174002%27%2C%272021063001174003%27%2C%272021063001174004%27%2C%272021063001174005%27%2C%272021063001174006%27%2C%272021063001174007%27%2C%272021063001174008%27%2C%272021063001174009%27%2C%272021063001174010%27%2C%272021063001174011%27%2C%272021063001174012%27%2C%272021063001174013%27%2C%272025062000608001%27%2C%27BK_6920010101304%27%29&%24limit=100,2026-09-20,59b80d8c32df246992ee2e3a742064fb31d3a7f44ba4b96821adac7821c2fdb4,6934,original API response
nycha_2025_plan_web_extract.txt,https://home4.nyc.gov/assets/nycha/downloads/pdf/annual-plan/2025/2025-2029-annual-plan-operating-plan-narrative.pdf,2026-09-20,2637d086d815a3f133b914b569b13023d96a387130fc9736ff756cf220a24270,693,web-extracted text only; original PDF direct download HTTP 404
casa_memorandum_lease_2021063001174002.pdf,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021063001174002,2026-09-20,f9f110de79ab723535eaca49354e45ab8e85eff344f941d7b258c0f9428cea6d,716830,original ACRIS browser Save All export; City Register document ID 2021063001174002
